text,aspect,polarity,label,input_text
"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",Pho,positive,0,"[ASPECT: Pho] I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go."
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,0,"[ASPECT: ingredients] Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,positive,0,"[ASPECT: candle-light] Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,positive,0,[ASPECT: chocolate bread pudding] You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,negative,1,"[ASPECT: entree] Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good."
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",server,negative,1,"[ASPECT: server] The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either."
We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,chinese food,positive,0,[ASPECT: chinese food] We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.
The shrimp scampi was excellent and the antipasti were plentiful.,shrimp scampi,positive,0,[ASPECT: shrimp scampi] The shrimp scampi was excellent and the antipasti were plentiful.
"Great vibe, lots of people.",vibe,positive,0,"[ASPECT: vibe] Great vibe, lots of people."
"The puke green walls leave a lot to be desired, but the food is very good.",food,positive,0,"[ASPECT: food] The puke green walls leave a lot to be desired, but the food is very good."
Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,nosh (pastrami sandwich),positive,0,[ASPECT: nosh (pastrami sandwich)] Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.
The server was really cool and served us our food and drinks with a smile.,server,positive,0,[ASPECT: server] The server was really cool and served us our food and drinks with a smile.
"Even though its good seafood, the prices are too high.",prices,negative,1,"[ASPECT: prices] Even though its good seafood, the prices are too high."
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",owner,positive,0,"[ASPECT: owner] The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly."
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",attitudes,positive,0,"[ASPECT: attitudes] No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown."
"Service is not exactly five star, but thats not really a big deal.",Service,conflict,3,"[ASPECT: Service] Service is not exactly five star, but thats not really a big deal."
"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",staff,positive,0,"[ASPECT: staff] The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations."
Sauce was watery and the food didn't have much flavor.,flavor,negative,1,[ASPECT: flavor] Sauce was watery and the food didn't have much flavor.
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",fish and chips,positive,0,"[ASPECT: fish and chips] Other guests enjoyed pizza, santa fe chopped salad and fish and chips."
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative,1,"[ASPECT: frites] Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",wait,positive,0,"[ASPECT: wait] night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience."
The prices are about $9 for an entree for dinner and even less for lunch.,prices,positive,0,[ASPECT: prices] The prices are about $9 for an entree for dinner and even less for lunch.
We ran a little late for the reservation but it wasn't a problem to get our table immediately.,reservation,neutral,2,[ASPECT: reservation] We ran a little late for the reservation but it wasn't a problem to get our table immediately.
good selection of wines ranging from affordable to high end.,selection of wines,positive,0,[ASPECT: selection of wines] good selection of wines ranging from affordable to high end.
