text,aspect,polarity,label
We ran a little late for the reservation but it wasn't a problem to get our table immediately.,reservation,neutral,2
good selection of wines ranging from affordable to high end.,selection of wines,positive,0
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,diners,neutral,2
"The food was below average, the service was pathetic, there was no ambience at all.",ambience,negative,1
Food was average but tasty.,Food,positive,0
This place is a great stop for great food.,food,positive,0
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,dinner,positive,0
This isn't your corner Chinese food takeout.,Chinese food,neutral,2
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",place,positive,0
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",staff,positive,0
We ate at this Thai place following the reviews but very unhappy with the foods.,foods,negative,1
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",menu,neutral,2
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,0
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",porcini mushroom pasta special,negative,1
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacon,negative,1
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,neutral,2
"Great service, great food.",food,positive,0
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,positive,0
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",waiter,negative,1
"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",tanks,positive,0
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",fresh mozz cheese,positive,0
"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",prices,negative,1
Wouldn't recomend it for dinner!,dinner,negative,1
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",fish and chips,negative,1
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral,2
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,positive,0
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,0
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",okra (bindi),positive,0
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",food,neutral,2
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",prices,positive,0
I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,thai cuisine,positive,0
"The crispy chicken wasn't for us, though.",crispy chicken,negative,1
"Normally that would be improper, however they were all delicious and my host did not complain.",host,neutral,2
The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,spring rolls,positive,0
"Drinks got screwed up, she acted put upon.",Drinks,negative,1
The service is good and the resturant is clean.,service,positive,0
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",food,positive,0
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",space,negative,1
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",specials,positive,0
"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",table,negative,1
"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",food,positive,0
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",rice,negative,1
THE FOOD PORTIONS ARE REALLY LARGE.,FOOD PORTIONS,positive,0
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meal,neutral,2
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",bagels,neutral,2
The food has been consistant for years and it never lets you down.,food,positive,0
The food was good.,food,positive,0
Service and food is what any one would expect when spending that type of money.,food,neutral,2
"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,positive,0
We were seated and ignored by waitstaff.,waitstaff,negative,1
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,2
"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",mozzarella,positive,0
The food is reliable and the price is moderate.,price,neutral,2
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,positive,0
Never in my life did I think that I could be satisfied both in taste and in quantity for $3.00 in NYC.,taste,positive,0
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",food,neutral,2
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",portions,negative,1
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",main dishes,neutral,2
There is actually space to breathe and the decor sets the tone for an intimate dinner.,space,positive,0
"The menu may be small, but everything on it is delicious.",menu,negative,1
"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,1
The menu prices are a bit expensive for what you get in quality and portion size.,portion size,negative,1
"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",lunch,positive,0
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",crew,positive,0
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,1
The rice to fish ration was also good--they didn't try to overpack the rice.,rice,positive,0
"The food is mostly made from scratch, fresh and well prepared.",food,positive,0
I particularly love their yellowfun tuna and their mussel selection.,yellowfun tuna,positive,0
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",quality,positive,0
Decor is nice though service can be spotty.,Decor,positive,0
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,neutral,2
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",drinks,positive,0
Scalina Fedeli reminded me why service is so integral to fine dining.,dining,positive,0
The price is reasonable although the service is poor.,price,positive,0
"After we got our sashimi order, I could not believe how small the portions were!",portions,negative,1
Prices are higher to dine in and their chicken tikka marsala is quite good.,chicken tikka marsala,positive,0
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",sushi,negative,1
"The portion sizes here are huge, and the sushi is good.",sushi,positive,0
The pizza was really good.,pizza,positive,0
The food always tastes fresh and served promptly.,food,positive,0
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral,2
"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",service,positive,0
"Friendly and informative staff, very attentive and prompt raw bar service.",staff,positive,0
They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,drinks,positive,0
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",portions,positive,0
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",fish with hot bean source,positive,0
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive,0
"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",atmosphere,positive,0
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive,0
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,hot sauce,positive,0
"Great service, great food.",service,positive,0
"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",portions,negative,1
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,fish,positive,0
"The flavors are great, and the menu is extensive.",flavors,positive,0
The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,variety of dishes,positive,0
"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",bathroom,positive,0
Nicky the Nose at the bar is a treat.,bar,neutral,2
Other apetizers and food,food,neutral,2
"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",specials,neutral,2
The octopus eaters were floored by the Octopus salad.,Octopus salad,positive,0
"When you want a piece of beef, head on over.",beef,positive,0
We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,ordering a la carte,negative,1
kalbi and nebbiolo do work together.,kalbi,neutral,2
"Great food, good size menu, great service and an unpretensious setting.",food,positive,0
"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",dessert,positive,0
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,positive,0
"Behind this counter, two men are squeezed in.",counter,negative,1
"When family came in he gave them apps to test their palets, and then ordered for them.",apps,neutral,2
Spreads and toppings are great - though a bit pricey.,Spreads,positive,0
"The bread and lamb chops I had before the meal were quite good, however.",meal,neutral,2
"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.",place,conflict,3
"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",sushi,neutral,2
"For authentic Thai food, look no further than Toons.",Thai food,positive,0
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,dinner,neutral,2
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,1
The atmosphere is great!!!,atmosphere,positive,0
then we ordered a dinosaur rolls and white tuna sashimi.,dinosaur rolls,neutral,2
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,neutral,2
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,0
Their Margarita is best I've had since I've returned from Naples!,Margarita,positive,0
The sangria was pretty tasty and good on a hot muggy day.,sangria,positive,0
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,positive,0
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,0
"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",brunch,neutral,2
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,positive,0
If you have a dumpling fetish i suggest you try some here!,dumpling,positive,0
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",santa fe chopped salad,positive,0
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",flavor,negative,1
Cozy romantic atomosphere with only around 15 tables at most.,tables,positive,0
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,positive,0
"Unfortunately, the food was NOT something to get worked up about.",food,negative,1
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,prix fixe,neutral,2
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,service,negative,1
"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",prices,positive,0
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive,0
"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.",rice,positive,0
Been going here since it opened have seen the quality value decrease considerably.,quality value,negative,1
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,negative,1
"$160 for 2 filets, 2 sides, an appetizer and drinks.",appetizer,neutral,2
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",food,positive,0
One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,menu,positive,0
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,negative,1
(and I have eaten my share) Which impresses me for having such a large amount of people to serve.,serve,positive,0
"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",dinner,positive,0
The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,fondue,positive,0
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",menu,neutral,2
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative,1
Try the cheesecake!,cheesecake,positive,0
The soup is pretty good too.,soup,positive,0
"Service was slow, but the people were friendly.",people,positive,0
"And the staff is also young, energeic and hot!!!!",staff,positive,0
"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq...",ambiance,positive,0
Why do people rave about the ambience.,ambience,negative,1
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,0
"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",dishes,conflict,3
"We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food.",food,positive,0
Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,positive,0
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bartender,negative,1
"Interesting selection, good wines, service fine, fun decor.",decor,positive,0
For those prices and the dressed up atmosphere you expect more and should get more.,atmosphere,negative,1
"A cool bar with great food, and tons of excellent beer.",food,positive,0
The service was ok.,service,neutral,2
The food is great and they have a good selecion of wines at reasonable prices.,food,positive,0
Great atmoshere and worth every bit.,atmoshere,positive,0
"Not only was the food outstanding, but the little 'perks' were great.",food,positive,0
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",tamarind duck,positive,0
The cream cheeses are out of this world and I love that coffee!!,coffee,positive,0
"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",pasta,negative,1
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",dim sum,positive,0
Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive,0
"at taj, vegetarians can rejoice-all the dishes are manna from heaven.",dishes,positive,0
"the food was undercooked-the sauce watery, and the vegetables raw.",sauce,negative,1
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",blond wood decor,positive,0
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,wait,negative,1
"Late nite omelletes are not good here, there is no variety!",omelletes,negative,1
"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",staff,positive,0
"we did notice however, that some tables had what looked like pita instead of naan.",pita,negative,1
"If you love seafood, you would love this place!",seafood,positive,0
We had the pot-stickers which were great and a tempura dish that was great.,tempura dish,positive,0
"not only does make the best pizza in NY , maybe anywhere.",pizza,positive,0
"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",waiter,negative,1
$20 for all you can eat sushi cannot be beaten.,sushi,neutral,2
Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.,chocolate mud cake (warmed),positive,0
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,waiting,negative,1
My steak au poivre was one of the worst I've had.,steak au poivre,negative,1
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",seating in the garden,neutral,2
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",food,positive,0
We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,tuna melt,negative,1
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dishes,neutral,2
"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",scenery,positive,0
Consistently good Japanese Tapas.,Japanese Tapas,positive,0
"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",menu,negative,1
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,1
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,taste,positive,0
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",value,neutral,2
"Forget the rush and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?",noise,conflict,3
"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",salmon dish,conflict,3
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,negative,1
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,0
Service was good and food is wonderful.,Service,positive,0
The shrimp scampi was excellent and the antipasti were plentiful.,antipasti,positive,0
"My turkey burger was not cooked at all, my friends salmon was completely raw.",salmon,negative,1
This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,night scene,positive,0
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dishes,negative,1
I cannot imagine a friendlier staff working in a restaurant.,staff,positive,0
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",pizza,positive,0
Patroon features a nice cigar bar and has great staff.,staff,positive,0
Went to Ottimo and was expecting outstanding pizza (as I love La Pizza Fresca).,pizza,neutral,2
I've had to wait only a few times during lunch but this place is definitely worth the wait.,wait,positive,0
"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",atomosphere,positive,0
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,0
The sake menu should not be overlooked!,sake menu,positive,0
"You order from a menu, so you leave feeling like you missed the full experience.",menu,negative,1
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,positive,0
The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,dosa batter,positive,0
The sushi is also great!,sushi,positive,0
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food art,positive,0
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",lamb glazed with balsamic vinegar,positive,0
I ate here a week ago and found most dishes average at best and too expensive.,dishes,negative,1
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,2
Their coffee is quite good too!,coffee,positive,0
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,0
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",plastic forks,neutral,2
Killer Sushi!,Sushi,positive,0
It took them 15 minutes to put water in our glasses.,water,neutral,2
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,0
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",chef,positive,0
"In addition, the food is very good and the prices are reasonable.",food,positive,0
"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",bar,neutral,2
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,positive,0
A Thai restaurant out of rice during dinner?,dinner,neutral,2
They have authentic Indian at amazin prices.,prices,positive,0
There is actually space to breathe and the decor sets the tone for an intimate dinner.,dinner,neutral,2
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,1
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,0
"The food is very good for it's price, better than most fried dumplings I've had.",price,positive,0
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",sandwich,neutral,2
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",place,positive,0
Prices are higher to dine in and their chicken tikka marsala is quite good.,Prices,negative,1
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",Indian,positive,0
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",portions,negative,1
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",cod,neutral,2
"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms).",surroundings,positive,0
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim sum,neutral,2
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,positive,0
Try the spicy wontons and the salt pepper shrimps.,salt pepper shrimps,positive,0
"Because of the delicate thin crust, take-out pies get soggy in their boxes.",crust,negative,1
"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",space,neutral,2
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,music,negative,1
"Well, their deliveries take for ever and the food is usually cold.",food,negative,1
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,positive,0
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,positive,0
Not impressed with the food.,food,negative,1
"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",tables,neutral,2
We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.,staff,positive,0
"The view is spectacular, and the food is great.",food,positive,0
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,neutral,2
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",spice,negative,1
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",seating,negative,1
Okay service.,service,neutral,2
"The main course had an average portion, and was decent overall.",portion,neutral,2
"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",glass noodles,neutral,2
"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",cannoli,positive,0
The soup for the udon was soy sauce and water.,soup for the udon,negative,1
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",fresh tomato sauce,positive,0
When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,waitress,negative,1
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",bagel with lox spread,positive,0
"otherwise, good stuff for late nite eats.",stuff,positive,0
This is my first time writing a review for a restaurant because the food and service was excellent.,food,positive,0
"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",Quality,positive,0
"Also, if you don't want to sit at a certain table, you don't have to!",table,positive,0
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,pastas,positive,0
The selection changes frequently but the basic dishes are always available.,selection,neutral,2
also make sure you pay attention to the music being piped in - quite a weird selection.,music,neutral,2
Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,food suggestions,positive,0
